implementation,schedule,chunk_size,threads,points,clusters,efficiency
sequential,static,1000,1,50000,10,1
naive,static,100,1,50000,10,1.14667
naive,static,100,2,50000,10,0.251998
naive,static,100,4,50000,10,0.064613
naive,static,100,8,50000,10,0.0261596
naive,static,1000,1,50000,10,1.18663
naive,static,1000,2,50000,10,0.214759
naive,static,1000,4,50000,10,0.0601747
naive,static,1000,8,50000,10,0.0240525
naive,dynamic,100,1,50000,10,1.25818
naive,dynamic,100,2,50000,10,0.172289
naive,dynamic,100,4,50000,10,0.0543866
naive,dynamic,100,8,50000,10,0.0255078
naive,dynamic,1000,1,50000,10,1.18359
naive,dynamic,1000,2,50000,10,0.210599
naive,dynamic,1000,4,50000,10,0.0679097
naive,dynamic,1000,8,50000,10,0.0269007
naive,guided,100,1,50000,10,1.24258
naive,guided,100,2,50000,10,0.234723
naive,guided,100,4,50000,10,0.054262
naive,guided,100,8,50000,10,0.0206601
naive,guided,1000,1,50000,10,0.952906
naive,guided,1000,2,50000,10,0.198783
naive,guided,1000,4,50000,10,0.0461193
naive,guided,1000,8,50000,10,0.0187011
optimized,static,100,1,50000,10,1.16666
optimized,static,100,2,50000,10,0.56567
optimized,static,100,4,50000,10,0.26026
optimized,static,100,8,50000,10,0.218216
optimized,static,1000,1,50000,10,1.20025
optimized,static,1000,2,50000,10,0.524004
optimized,static,1000,4,50000,10,0.266278
optimized,static,1000,8,50000,10,0.214895
optimized,dynamic,100,1,50000,10,1.23134
optimized,dynamic,100,2,50000,10,0.508133
optimized,dynamic,100,4,50000,10,0.267116
optimized,dynamic,100,8,50000,10,0.21869
optimized,dynamic,1000,1,50000,10,1.21377
optimized,dynamic,1000,2,50000,10,0.499378
optimized,dynamic,1000,4,50000,10,0.276751
optimized,dynamic,1000,8,50000,10,0.23178
optimized,guided,100,1,50000,10,1.16887
optimized,guided,100,2,50000,10,0.522272
optimized,guided,100,4,50000,10,0.279257
optimized,guided,100,8,50000,10,0.21998
optimized,guided,1000,1,50000,10,1.19981
optimized,guided,1000,2,50000,10,0.545311
optimized,guided,1000,4,50000,10,0.317197
optimized,guided,1000,8,50000,10,0.235206
soa,static,100,1,50000,10,1.12818
soa,static,100,2,50000,10,0.748884
soa,static,100,4,50000,10,0.83606
soa,static,100,8,50000,10,0.352517
soa,static,1000,1,50000,10,1.12601
soa,static,1000,2,50000,10,0.745076
