implementation,schedule,chunk_size,threads,points,clusters,mean_runtime_ms
naive,dynamic,100,1,50000,10,91.1658
naive,dynamic,1000,1,50000,10,96.911
naive,guided,100,1,50000,10,92.3102
naive,guided,1000,1,50000,10,120.372
naive,static,100,1,50000,10,100.031
naive,static,1000,1,50000,10,96.6629
naive,dynamic,100,2,50000,10,332.879
naive,dynamic,1000,2,50000,10,272.326
naive,guided,100,2,50000,10,244.337
naive,guided,1000,2,50000,10,288.514
naive,static,100,2,50000,10,227.587
naive,static,1000,2,50000,10,267.051
naive,dynamic,100,4,50000,10,527.258
naive,dynamic,1000,4,50000,10,422.263
naive,guided,100,4,50000,10,528.469
naive,guided,1000,4,50000,10,621.774
naive,static,100,4,50000,10,443.808
naive,static,1000,4,50000,10,476.542
naive,dynamic,100,8,50000,10,562.099
naive,dynamic,1000,8,50000,10,532.992
naive,guided,100,8,50000,10,693.989
naive,guided,1000,8,50000,10,766.686
naive,static,100,8,50000,10,548.093
naive,static,1000,8,50000,10,596.107
naive,dynamic,100,1,100000,10,301.754
naive,dynamic,1000,1,100000,10,299.829
naive,guided,100,1,100000,10,289.211
naive,guided,1000,1,100000,10,317.906
naive,static,100,1,100000,10,303.533
naive,static,1000,1,100000,10,364.206
naive,dynamic,100,2,100000,10,896.997
naive,dynamic,1000,2,100000,10,756.239
naive,guided,100,2,100000,10,880.312
naive,guided,1000,2,100000,10,701.11
naive,static,100,2,100000,10,846.469
naive,static,1000,2,100000,10,999.04
naive,dynamic,100,4,100000,10,1522.53
naive,dynamic,1000,4,100000,10,1265.85
naive,guided,100,4,100000,10,1706.23
naive,guided,1000,4,100000,10,1741.82
naive,static,100,4,100000,10,1545.1
naive,static,1000,4,100000,10,1885.5
naive,dynamic,100,8,100000,10,2122.62
naive,dynamic,1000,8,100000,10,2088.96
naive,guided,100,8,100000,10,2122.33
naive,guided,1000,8,100000,10,2061.99
naive,static,100,8,100000,10,2144.57
naive,static,1000,8,100000,10,2146.61
optimized,dynamic,100,1,50000,10,93.1529
optimized,dynamic,1000,1,50000,10,94.5018
optimized,guided,100,1,50000,10,98.1317
optimized,guided,1000,1,50000,10,95.6012
optimized,static,100,1,50000,10,98.3179
