implementation,schedule,chunk_size,threads,points,clusters,speedup
sequential,static,1000,1,50000,10,1
naive,static,100,1,50000,10,1.14667
naive,static,100,2,50000,10,0.503996
naive,static,100,4,50000,10,0.258452
naive,static,100,8,50000,10,0.209277
naive,static,1000,1,50000,10,1.18663
naive,static,1000,2,50000,10,0.429517
naive,static,1000,4,50000,10,0.240699
naive,static,1000,8,50000,10,0.19242
naive,dynamic,100,1,50000,10,1.25818
naive,dynamic,100,2,50000,10,0.344579
naive,dynamic,100,4,50000,10,0.217547
naive,dynamic,100,8,50000,10,0.204062
naive,dynamic,1000,1,50000,10,1.18359
naive,dynamic,1000,2,50000,10,0.421198
naive,dynamic,1000,4,50000,10,0.271639
naive,dynamic,1000,8,50000,10,0.215206
naive,guided,100,1,50000,10,1.24258
naive,guided,100,2,50000,10,0.469446
naive,guided,100,4,50000,10,0.217048
naive,guided,100,8,50000,10,0.165281
naive,guided,1000,1,50000,10,0.952906
naive,guided,1000,2,50000,10,0.397565
naive,guided,1000,4,50000,10,0.184477
naive,guided,1000,8,50000,10,0.149609
optimized,static,100,1,50000,10,1.16666
optimized,static,100,2,50000,10,1.13134
optimized,static,100,4,50000,10,1.04104
optimized,static,100,8,50000,10,1.74573
optimized,static,1000,1,50000,10,1.20025
optimized,static,1000,2,50000,10,1.04801
optimized,static,1000,4,50000,10,1.06511
optimized,static,1000,8,50000,10,1.71916
optimized,dynamic,100,1,50000,10,1.23134
optimized,dynamic,100,2,50000,10,1.01627
optimized,dynamic,100,4,50000,10,1.06847
optimized,dynamic,100,8,50000,10,1.74952
optimized,dynamic,1000,1,50000,10,1.21377
optimized,dynamic,1000,2,50000,10,0.998756
optimized,dynamic,1000,4,50000,10,1.107
optimized,dynamic,1000,8,50000,10,1.85424
optimized,guided,100,1,50000,10,1.16887
optimized,guided,100,2,50000,10,1.04454
optimized,guided,100,4,50000,10,1.11703
optimized,guided,100,8,50000,10,1.75984
optimized,guided,1000,1,50000,10,1.19981
optimized,guided,1000,2,50000,10,1.09062
optimized,guided,1000,4,50000,10,1.26879
optimized,guided,1000,8,50000,10,1.88165
soa,static,100,1,50000,10,1.12818
soa,static,100,2,50000,10,1.49777
soa,static,100,4,50000,10,3.34424
soa,static,100,8,50000,10,2.82014
soa,static,1000,1,50000,10,1.12601
soa,static,1000,2,50000,10,1.49015
