implementation,threads,points,clusters,ipc,cycles,instructions,cpu_utilization
naive,1,50000,10,0.0,0.0,0.0,0.0
naive,2,50000,10,0.0,0.0,0.0,0.0
naive,4,50000,10,0.0,0.0,0.0,0.0
naive,8,50000,10,0.0,0.0,0.0,0.0
naive,1,100000,10,0.0,0.0,0.0,0.0
naive,2,100000,10,0.0,0.0,0.0,0.0
naive,4,100000,10,0.0,0.0,0.0,0.0
naive,8,100000,10,0.0,0.0,0.0,0.0
optimized,1,50000,10,1.0795133333333333,0.0,0.0,0.0
optimized,2,50000,10,0.47265333333333337,0.0,0.0,0.0
optimized,4,50000,10,0.29254933333333333,0.0,0.0,0.0
optimized,8,50000,10,0.22136366666666665,0.0,0.0,0.0
optimized,1,100000,10,0.0,0.0,0.0,0.0
optimized,2,100000,10,0.0,0.0,0.0,0.0
optimized,4,100000,10,0.0,0.0,0.0,0.0
optimized,8,100000,10,0.0,0.0,0.0,0.0
sequential,1,50000,10,0.0,0.0,0.0,0.0
sequential,1,100000,10,0.0,0.0,0.0,0.0
soa,1,50000,10,1.1325166666666666,0.0,0.0,0.0
soa,2,50000,10,1.1217333333333335,0.0,0.0,0.0
soa,4,50000,10,0.7072233333333333,0.0,0.0,0.0
soa,8,50000,10,0.34765333333333337,0.0,0.0,0.0
soa,1,100000,10,0.0,0.0,0.0,0.0
soa,2,100000,10,0.0,0.0,0.0,0.0
soa,4,100000,10,0.0,0.0,0.0,0.0
soa,8,100000,10,0.0,0.0,0.0,0.0
