implementation,threads,points,clusters,ai_estimate,achieved_gflops,bandwidth_gbs,ipc,cache_miss_rate,runtime_ms
sequential,1,50000,10,1.875,0.0261545,0.139491,0,0,114.703
naive,1,50000,10,1.875,0.0299906,0.15995,0,0,100.031
naive,2,50000,10,1.875,0.0131818,0.0703027,0,0,227.587
naive,4,50000,10,1.875,0.00675968,0.0360516,0,0,443.808
naive,8,50000,10,1.875,0.00547352,0.0291921,0,0,548.093
naive,1,50000,10,1.875,0.0310357,0.165524,0,0,96.6629
naive,2,50000,10,1.875,0.0112338,0.0599136,0,0,267.051
naive,4,50000,10,1.875,0.00629536,0.0335752,0,0,476.542
naive,8,50000,10,1.875,0.00503265,0.0268408,0,0,596.107
naive,1,50000,10,1.875,0.0329071,0.175504,0,0,91.1658
naive,2,50000,10,1.875,0.00901228,0.0480655,0,0,332.879
naive,4,50000,10,1.875,0.00568982,0.0303457,0,0,527.258
naive,8,50000,10,1.875,0.00533714,0.0284647,0,0,562.099
naive,1,50000,10,1.875,0.0309562,0.1651,0,0,96.911
naive,2,50000,10,1.875,0.0110162,0.0587531,0,0,272.326
naive,4,50000,10,1.875,0.00710457,0.0378911,0,0,422.263
naive,8,50000,10,1.875,0.0056286,0.0300192,0,0,532.992
naive,1,50000,10,1.875,0.0324991,0.173329,0,0,92.3102
naive,2,50000,10,1.875,0.0122781,0.0654833,0,0,244.337
naive,4,50000,10,1.875,0.00567678,0.0302761,0,0,528.469
naive,8,50000,10,1.875,0.00432284,0.0230551,0,0,693.989
naive,1,50000,10,1.875,0.0249228,0.132921,0,0,120.372
naive,2,50000,10,1.875,0.0103981,0.0554566,0,0,288.514
naive,4,50000,10,1.875,0.00482491,0.0257328,0,0,621.774
naive,8,50000,10,1.875,0.00391294,0.020869,0,0,766.686
optimized,1,50000,10,1.875,0.0305133,0.162737,3.23854,0.0922606,98.3179
optimized,2,50000,10,1.875,0.0295896,0.157811,1.41796,0.00828971,101.387
optimized,4,50000,10,1.875,0.0272279,0.145215,0.877648,0.0059869,110.181
optimized,8,50000,10,1.875,0.0456586,0.243513,0.664091,0.00217707,65.705
optimized,1,50000,10,1.875,0.031392,0.167424,3.23854,0.0922606,95.5657
optimized,2,50000,10,1.875,0.0274101,0.146187,1.41796,0.00828971,109.449
optimized,4,50000,10,1.875,0.0278575,0.148573,0.877648,0.0059869,107.691
optimized,8,50000,10,1.875,0.0449637,0.239806,0.664091,0.00217707,66.7206
optimized,1,50000,10,1.875,0.0322051,0.171761,0,0,93.1529
optimized,2,50000,10,1.875,0.0265799,0.141759,0,0,112.867
optimized,4,50000,10,1.875,0.0279452,0.149041,0,0,107.353
optimized,8,50000,10,1.875,0.0457577,0.244041,0,0,65.5627
optimized,1,50000,10,1.875,0.0317454,0.169309,0,0,94.5018
optimized,2,50000,10,1.875,0.026122,0.139317,0,0,114.846
optimized,4,50000,10,1.875,0.0289531,0.154416,0,0,103.616
optimized,8,50000,10,1.875,0.0484966,0.258649,0,0,61.86
optimized,1,50000,10,1.875,0.0305712,0.163046,0,0,98.1317
optimized,2,50000,10,1.875,0.0273195,0.145704,0,0,109.812
optimized,4,50000,10,1.875,0.0292153,0.155815,0,0,102.686
optimized,8,50000,10,1.875,0.0460277,0.245481,0,0,65.1781
optimized,1,50000,10,1.875,0.0313804,0.167362,0,0,95.6012
optimized,2,50000,10,1.875,0.0285247,0.152131,0,0,105.172
optimized,4,50000,10,1.875,0.0331845,0.176984,0,0,90.4036
optimized,8,50000,10,1.875,0.0492135,0.262472,0,0,60.9589
soa,1,50000,10,2.5,0.029507,0.118028,3.39755,0.078616,101.671
soa,2,50000,10,2.5,0.0391734,0.156693,3.3652,0.0858835,76.5826
soa,4,50000,10,2.5,0.0874669,0.349868,2.12167,0.0222185,34.2987
soa,8,50000,10,2.5,0.0737593,0.295037,1.04296,0.00668066,40.6728
soa,1,50000,10,2.5,0.0294502,0.117801,3.39755,0.078616,101.867
soa,2,50000,10,2.5,0.0389742,0.155897,3.3652,0.0858835,76.9741
soa,4,50000,10,2.5,0.0986089,0.394436,2.12167,0.0222185,30.4232
soa,8,50000,10,2.5,0.079873,0.319492,1.04296,0.00668066,37.5596
soa,1,50000,10,2.5,0.029697,0.118788,0,0,101.02
soa,2,50000,10,2.5,0.0385224,0.15409,0,0,77.8768
soa,4,50000,10,2.5,0.0925063,0.370025,0,0,32.4302
soa,8,50000,10,2.5,0.100424,0.401695,0,0,29.8734
soa,1,50000,10,2.5,0.0295394,0.118158,0,0,101.559
soa,2,50000,10,2.5,0.0370519,0.148208,0,0,80.9675
soa,4,50000,10,2.5,0.0981424,0.392569,0,0,30.5678
soa,8,50000,10,2.5,0.094059,0.376236,0,0,31.8949
soa,1,50000,10,2.5,0.0288568,0.115427,0,0,103.962
soa,2,50000,10,2.5,0.0388352,0.155341,0,0,77.2496
soa,4,50000,10,2.5,0.0971073,0.388429,0,0,30.8937
soa,8,50000,10,2.5,0.0890491,0.356196,0,0,33.6893
soa,1,50000,10,2.5,0.0293545,0.117418,0,0,102.199
soa,2,50000,10,2.5,0.0390153,0.156061,0,0,76.8928
soa,4,50000,10,2.5,0.0877682,0.351073,0,0,34.181
soa,8,50000,10,2.5,0.0793257,0.317303,0,0,37.8188
sequential,1,100000,10,1.875,0.0157788,0.0841535,0,0,380.258
naive,1,100000,10,1.875,0.0197672,0.105425,0,0,303.533
naive,2,100000,10,1.875,0.00708827,0.0378041,0,0,846.469
naive,4,100000,10,1.875,0.00388325,0.0207107,0,0,1545.1
naive,8,100000,10,1.875,0.00279776,0.0149214,0,0,2144.57
naive,1,100000,10,1.875,0.0164742,0.0878624,0,0,364.206
naive,2,100000,10,1.875,0.00600576,0.0320307,0,0,999.04
