implementation,schedule,chunk_size,threads,points,clusters,iterations,runtime_ms,mean_runtime_ms,stddev_ms,speedup,efficiency,ipc,cache_miss_rate,ai_estimate,achieved_gflops,bandwidth_gbs,correct
sequential,static,1000,1,50000,10,51,114.703,114.703,22.8321,1,1,0,0,1.875,0.0261545,0.139491,1
naive,static,100,1,50000,10,51,100.031,100.031,19.4021,1.14667,1.14667,0,0,1.875,0.0299906,0.15995,1
naive,static,100,2,50000,10,51,227.587,227.587,48.0413,0.503996,0.251998,0,0,1.875,0.0131818,0.0703027,1
naive,static,100,4,50000,10,51,443.808,443.808,144.315,0.258452,0.064613,0,0,1.875,0.00675968,0.0360516,1
naive,static,100,8,50000,10,51,548.093,548.093,132.464,0.209277,0.0261596,0,0,1.875,0.00547352,0.0291921,1
naive,static,1000,1,50000,10,51,96.6629,96.6629,20.6897,1.18663,1.18663,0,0,1.875,0.0310357,0.165524,1
naive,static,1000,2,50000,10,51,267.051,267.051,57.0429,0.429517,0.214759,0,0,1.875,0.0112338,0.0599136,1
naive,static,1000,4,50000,10,51,476.542,476.542,135.857,0.240699,0.0601747,0,0,1.875,0.00629536,0.0335752,1
naive,static,1000,8,50000,10,51,596.107,596.107,111.872,0.19242,0.0240525,0,0,1.875,0.00503265,0.0268408,1
naive,dynamic,100,1,50000,10,51,91.1658,91.1658,20.8647,1.25818,1.25818,0,0,1.875,0.0329071,0.175504,1
naive,dynamic,100,2,50000,10,51,332.879,332.879,68.2905,0.344579,0.172289,0,0,1.875,0.00901228,0.0480655,1
naive,dynamic,100,4,50000,10,51,527.258,527.258,128.222,0.217547,0.0543866,0,0,1.875,0.00568982,0.0303457,1
naive,dynamic,100,8,50000,10,51,562.099,562.099,117.156,0.204062,0.0255078,0,0,1.875,0.00533714,0.0284647,1
naive,dynamic,1000,1,50000,10,51,96.911,96.911,23.5771,1.18359,1.18359,0,0,1.875,0.0309562,0.1651,1
naive,dynamic,1000,2,50000,10,51,272.326,272.326,57.769,0.421198,0.210599,0,0,1.875,0.0110162,0.0587531,1
naive,dynamic,1000,4,50000,10,51,422.263,422.263,210.473,0.271639,0.0679097,0,0,1.875,0.00710457,0.0378911,1
